epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.775,0.5948574387874572,0.001,0.52,1.5906512744382997
2,0.925,0.49979605736101035,0.001,0.46,1.5824343801494798
3,0.675,0.5752565601665459,0.001,0.46,1.4690188281819117
4,0.7,0.6291746971607975,0.001,0.42,1.5391571513575117
5,0.65,0.6015895432088085,0.001,0.5,1.4458277798905752
6,0.875,0.4845597008262361,0.001,0.44,1.442643410479924
7,0.825,0.4879512930266392,0.001,0.48,1.4834118222470067
8,0.7,0.5742031495476183,0.001,0.46,1.5040355780929187
9,0.725,0.5839638654077898,0.001,0.54,1.4507418901693958
10,0.7,0.5898549950845761,0.001,0.6,1.4496574924507815
11,0.775,0.5234349208556501,0.001,0.46,1.4439892885149879
12,0.875,0.4769347437655161,0.001,0.46,1.4411146669954542
13,0.85,0.49790039980996514,0.001,0.58,1.4617886303849823
14,0.875,0.4629903250988159,0.001,0.52,1.4296085553756566
15,0.825,0.5320308209479401,0.001,0.66,1.369556913954875
16,0.875,0.5222040052175009,0.001,0.58,1.3714433568572941
17,0.825,0.4895971349809457,0.001,0.56,1.3920379264746665
18,0.85,0.4811500941818322,0.001,0.64,1.3419215987716375
19,0.8,0.5024857800171244,0.001,0.5,1.473101067099292
20,0.675,0.586984076500834,0.001,0.52,1.4062414860514882
21,0.825,0.5485011689079541,0.001,0.52,1.4475622239880803
22,0.775,0.5448945578095732,0.001,0.42,1.4971020782047242
23,0.85,0.49896377328943364,0.001,0.68,1.3458449487380824
24,0.8,0.542712959485985,0.001,0.62,1.411555094188789
25,0.85,0.5338843780797958,0.001,0.6,1.3531097383446988
26,0.75,0.5954735941354692,0.001,0.52,1.413611011337712
27,0.9,0.4752009251777086,0.001,0.6,1.3898881862759058
28,0.8,0.5116439585225744,0.001,0.52,1.4171840227111332
29,0.95,0.43519770290280657,0.001,0.5,1.3872175836460787
30,0.975,0.42356984074091486,0.0005,0.46,1.4479810450997674
31,0.85,0.5294301995589479,0.0005,0.5,1.4388472473030123
32,0.85,0.523164975957684,0.0005,0.72,1.293619688225612
33,0.875,0.4986303846397324,0.0005,0.6,1.4218797796133882
34,0.9,0.467730640013872,0.0005,0.62,1.4105535452368998
35,0.825,0.47569643259647537,0.0005,0.6,1.4104185728960106
36,0.825,0.5171764818408727,0.0005,0.58,1.3816957159578138
37,0.75,0.5702688914703776,0.0005,0.62,1.3879455816705921
38,0.85,0.48906795903333633,0.0005,0.58,1.349101068144509
39,0.85,0.4706344094083252,0.0005,0.6,1.3922804838821523
40,0.925,0.439098634286759,0.0005,0.52,1.4069821258395387
41,0.85,0.5000975535821625,0.0005,0.62,1.3548414654511791
42,0.85,0.5023297146458549,0.0005,0.58,1.4369412825830623
43,0.875,0.4322584831583489,0.0005,0.52,1.3954190655083851
44,0.9,0.48602989186206547,0.0005,0.6,1.2935863465291038
45,0.8,0.5128404550567602,0.0005,0.56,1.3694890513719673
46,0.9,0.4666319932284083,0.0005,0.5,1.4383985436149522
47,0.925,0.4474479151507075,0.0005,0.54,1.3394464356097384
48,0.825,0.4993257217211757,0.0005,0.56,1.3783974697482195
49,0.975,0.4508859355594887,0.0005,0.64,1.3815907199518112
50,0.8,0.5502541586148805,0.0005,0.68,1.3208363295809362
