epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.64,1.439575934739386,0.001,0.46,1.6045744337715144
2,0.63,1.3938270342574846,0.001,0.54,1.5255874181394737
3,0.62,1.341222243366688,0.001,0.54,1.4032324918108179
4,0.5700000000000001,1.3639941383136076,0.001,0.6,1.3650513654697005
5,0.63,1.3572311654914988,0.001,0.52,1.4126796289580177
6,0.74,1.2622081953044475,0.001,0.58,1.4409501048343691
7,0.7699999999999998,1.2545271099759727,0.001,0.44,1.4487623937229417
8,0.69,1.2755555618771715,0.001,0.58,1.3568593049693016
9,0.74,1.2214125493415666,0.001,0.62,1.2995418512649917
10,0.7,1.2535418045554816,0.001,0.66,1.3421740133363258
11,0.76,1.2516952341037806,0.001,0.62,1.3120020618831476
12,0.74,1.2132228250806276,0.001,0.56,1.3682316755049262
13,0.7100000000000001,1.2394785123363419,0.001,0.58,1.361724965248519
14,0.8100000000000002,1.181930747642658,0.001,0.5,1.3852079406830802
15,0.78,1.2066374438691014,0.001,0.68,1.2679735353354618
16,0.6899999999999998,1.2644951331301946,0.001,0.64,1.3231610356107055
17,0.75,1.2370371258731052,0.001,0.54,1.3683323371995766
18,0.67,1.2894509467699136,0.001,0.68,1.2777193097821484
19,0.78,1.2020032463420178,0.001,0.68,1.2495068430287315
20,0.78,1.2024976234177842,0.001,0.54,1.3403494309049648
21,0.7800000000000001,1.218463084818821,0.001,0.64,1.2883384907269255
22,0.67,1.2658302792632266,0.001,0.6,1.2969213600661544
23,0.64,1.2802530517309294,0.001,0.64,1.3747126523874758
24,0.6399999999999999,1.2804793753491968,0.001,0.62,1.3849213613869964
25,0.72,1.2572467670998368,0.001,0.74,1.3007635517826857
26,0.7299999999999999,1.217705343459716,0.001,0.64,1.336647891200338
27,0.8200000000000001,1.1741988033905184,0.001,0.7,1.2697229726752675
28,0.72,1.2398673017063433,0.001,0.56,1.3519167075189353
29,0.7100000000000001,1.2041771767910938,0.001,0.6,1.3133033429154335
30,0.7899999999999999,1.220101682331114,0.0005,0.72,1.2500316835741785
31,0.78,1.192818069664763,0.0005,0.62,1.3313611157612528
32,0.8,1.1850076262090514,0.0005,0.68,1.3280873641195428
33,0.79,1.1753090157372044,0.0005,0.6,1.3247241449308425
34,0.77,1.202072674670122,0.0005,0.58,1.3564979434024067
35,0.79,1.1395339257242614,0.0005,0.66,1.215264666851303
36,0.76,1.190953101448482,0.0005,0.66,1.3123591011225586
37,0.8200000000000001,1.1694044303998055,0.0005,0.6,1.3132579866174816
38,0.79,1.1560792407622007,0.0005,0.5,1.337761478536433
39,0.78,1.1383208332011088,0.0005,0.58,1.3768735787511994
40,0.75,1.2085499475567922,0.0005,0.56,1.3564751513297744
41,0.77,1.1502934851888074,0.0005,0.72,1.2879090836575764
42,0.8,1.155411551046372,0.0005,0.56,1.339826861148018
43,0.7100000000000002,1.162127537854682,0.0005,0.62,1.3018849847514145
44,0.67,1.171956355626122,0.0005,0.58,1.3169217162426505
45,0.69,1.234750829526623,0.0005,0.6,1.2733654300786919
46,0.77,1.166494963405574,0.0005,0.56,1.2782794110229978
47,0.6900000000000001,1.207768574184427,0.0005,0.66,1.3371174717264034
48,0.77,1.1575052175540337,0.0005,0.6,1.304046197689948
49,0.7500000000000001,1.1942821378497679,0.0005,0.58,1.359782689165123
50,0.71,1.208155175341476,0.0005,0.58,1.3267130520394306
