epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.5,1.6469464598966517,0.001,0.52,1.5546936860357818
2,0.5333333333333334,1.570245630064912,0.001,0.5,1.4847400182822301
3,0.4833333333333333,1.5683265350274076,0.001,0.5,1.467937341254737
4,0.6333333333333334,1.5437378132300643,0.001,0.56,1.4237238038364004
5,0.5916666666666667,1.4890161714396892,0.001,0.6,1.3888190790109292
6,0.5916666666666667,1.452027476605032,0.001,0.6,1.3683411873464875
7,0.5416666666666667,1.556572978878093,0.001,0.72,1.3394620297136945
8,0.5833333333333334,1.4900880695792196,0.001,0.8,1.3109556326064677
9,0.6083333333333334,1.4677636929863949,0.001,0.56,1.439266627666422
10,0.7166666666666666,1.436320330608918,0.001,0.7,1.3813599140057125
11,0.6583333333333333,1.4234902939761767,0.001,0.7,1.3099814425173408
12,0.7333333333333333,1.3709750513429833,0.001,0.66,1.3198669559300924
13,0.5666666666666667,1.453003150272977,0.001,0.56,1.340282746062014
14,0.6833333333333333,1.3930307780953564,0.001,0.5,1.3695550520965531
15,0.6583333333333333,1.40421540247559,0.001,0.6,1.3560089916639921
16,0.6416666666666667,1.416969135819499,0.001,0.6,1.389112069949055
17,0.6333333333333334,1.435286189116375,0.001,0.6,1.3861489397411249
18,0.525,1.5123512221029345,0.001,0.56,1.373636752834679
19,0.675,1.4486758077366937,0.001,0.52,1.4137485676754704
20,0.6833333333333333,1.4248409010960381,0.001,0.58,1.3975750711612531
21,0.6749999999999999,1.4203798863698374,0.001,0.58,1.2943113382932727
22,0.6666666666666667,1.3495544970212985,0.001,0.52,1.438335902075368
23,0.6083333333333334,1.3879253222940924,0.001,0.66,1.318785582026712
24,0.7,1.3682734410996171,0.001,0.62,1.337310442966222
25,0.6833333333333333,1.3850436111971145,0.001,0.54,1.371878057246252
26,0.6166666666666666,1.4036110839461184,0.001,0.56,1.3573338431888609
27,0.7416666666666667,1.336072510889158,0.001,0.56,1.3292059273125014
28,0.6833333333333333,1.4098739512797556,0.001,0.6,1.3335767941664478
29,0.6416666666666666,1.432679236117243,0.001,0.54,1.3567181316644197
30,0.6083333333333334,1.4324153932433452,0.0005,0.62,1.3124467513525409
31,0.725,1.403337868542907,0.0005,0.58,1.3284177065944014
32,0.7083333333333333,1.3785332596804867,0.0005,0.62,1.27364423743174
33,0.7,1.3256214157038708,0.0005,0.6,1.3167658412893517
34,0.7083333333333335,1.3464874624226244,0.0005,0.68,1.256458404051421
35,0.625,1.3651440044218444,0.0005,0.7,1.2131458225581033
36,0.65,1.4149718139988186,0.0005,0.62,1.341795654164971
37,0.6249999999999999,1.418323197218635,0.0005,0.54,1.3073609695830604
38,0.6333333333333334,1.3746651581756342,0.0005,0.56,1.2929922254794814
39,0.65,1.389978261851018,0.0005,0.58,1.323596395917069
40,0.6499999999999999,1.3661240550380422,0.0005,0.52,1.3478847410635137
41,0.675,1.3515902475753605,0.0005,0.62,1.3198806238803384
42,0.8,1.3064130640640594,0.0005,0.6,1.3428662868695584
43,0.7666666666666666,1.3589849043960534,0.0005,0.7,1.237260895177507
44,0.7166666666666667,1.3664284702141127,0.0005,0.64,1.3013741483044405
45,0.7083333333333334,1.347295970346257,0.0005,0.54,1.366180926943985
46,0.6833333333333333,1.3423458307576501,0.0005,0.64,1.2156184319940377
47,0.6833333333333335,1.3779739787205083,0.0005,0.62,1.3419119777224184
48,0.6583333333333333,1.3584244281153182,0.0005,0.68,1.2204638526975933
49,0.75,1.2925816432083317,0.0005,0.76,1.2118832282474237
50,0.725,1.333052127532659,0.0005,0.64,1.29500996804109
