epoch,categorical_accuracy,loss,lr,val_5-shot_1-way_acc,val_loss
1,0.6100000000000001,1.455912271841778,0.001,1.0,0.0
2,0.61,1.397645836365103,0.001,1.0,0.0
3,0.72,1.2986079780739719,0.001,1.0,0.0
4,0.64,1.3122348456046122,0.001,1.0,0.0
5,0.75,1.2772497706956192,0.001,1.0,0.0
6,0.7,1.272028557023899,0.001,1.0,0.0
7,0.6599999999999999,1.3108520048861652,0.001,1.0,0.0
8,0.61,1.3016484742318146,0.001,1.0,0.0
9,0.71,1.248759110349161,0.001,1.0,0.0
10,0.7500000000000001,1.2594724718569035,0.001,1.0,0.0
11,0.6800000000000002,1.3106342036085636,0.001,1.0,0.0
12,0.6,1.327730790686714,0.001,1.0,0.0
13,0.8099999999999999,1.1944786325067855,0.001,1.0,0.0
14,0.8099999999999999,1.1984775247860846,0.001,1.0,0.0
15,0.72,1.2343550165633383,0.001,1.0,0.0
16,0.73,1.2323092461921121,0.001,1.0,0.0
17,0.71,1.2254454169302538,0.001,1.0,0.0
18,0.6799999999999999,1.2672248700807338,0.001,1.0,0.0
19,0.7300000000000001,1.2298865614982428,0.001,1.0,0.0
20,0.6799999999999999,1.1983970081723347,0.001,1.0,0.0
21,0.78,1.2511644675573204,0.001,1.0,0.0
22,0.6699999999999999,1.2571753692738912,0.001,1.0,0.0
23,0.7900000000000001,1.2001619724754322,0.001,1.0,0.0
24,0.7200000000000002,1.2558166504061672,0.001,1.0,0.0
25,0.68,1.2495165101959977,0.001,1.0,0.0
26,0.72,1.1978323601862577,0.001,1.0,0.0
27,0.76,1.1917009372864735,0.001,1.0,0.0
28,0.8300000000000001,1.1560852288155579,0.001,1.0,0.0
29,0.6399999999999999,1.2500182246381566,0.001,1.0,0.0
30,0.69,1.2582756246686992,0.0005,1.0,0.0
31,0.7900000000000001,1.221732049216542,0.0005,1.0,0.0
32,0.72,1.254507015537121,0.0005,1.0,0.0
33,0.8,1.177234142436801,0.0005,1.0,0.0
34,0.63,1.2683191482854563,0.0005,1.0,0.0
35,0.77,1.198048714869751,0.0005,1.0,0.0
36,0.7,1.2128923685652548,0.0005,1.0,0.0
37,0.72,1.2077324452954783,0.0005,1.0,0.0
38,0.7700000000000001,1.1590445965513263,0.0005,1.0,0.0
39,0.72,1.1944686487383702,0.0005,1.0,0.0
40,0.7500000000000001,1.1538371878049531,0.0005,1.0,0.0
41,0.8099999999999999,1.1099872980745769,0.0005,1.0,0.0
42,0.6399999999999999,1.2617296939127638,0.0005,1.0,0.0
43,0.74,1.1753458921167248,0.0005,1.0,0.0
44,0.76,1.196545054728292,0.0005,1.0,0.0
45,0.74,1.1801112687408446,0.0005,1.0,0.0
46,0.7799999999999999,1.138739000592107,0.0005,1.0,0.0
47,0.8099999999999999,1.148009915873071,0.0005,1.0,0.0
48,0.8,1.1224617270940909,0.0005,1.0,0.0
49,0.7100000000000001,1.1889127418143297,0.0005,1.0,0.0
50,0.69,1.196925349143492,0.0005,1.0,0.0
