epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.48999999999999994,2.1286533558389586,0.001,0.36,1.6033913818956642
2,0.37999999999999995,2.038357373309476,0.001,0.46,1.572975639271686
3,0.5,1.9829092839240423,0.001,0.36,1.5159058058791899
4,0.53,1.987735878893642,0.001,0.62,1.4521468744755777
5,0.43999999999999995,1.995902669290642,0.001,0.66,1.3631916558098505
6,0.52,1.9844561528144158,0.001,0.64,1.3700745487457586
7,0.55,1.9614009988045922,0.001,0.58,1.3440170816589774
8,0.6299999999999999,1.9030910903259737,0.001,0.76,1.2589988173108582
9,0.6100000000000001,1.9084446774211123,0.001,0.66,1.331144280077939
10,0.5999999999999999,1.8979254012085907,0.001,0.56,1.308762027002344
11,0.55,1.8600615981113258,0.001,0.64,1.2814484313361332
12,0.58,1.8800190914543915,0.001,0.6,1.3562909396795724
13,0.61,1.8778022795470375,0.001,0.56,1.3973206895355295
14,0.53,1.914536709854157,0.001,0.52,1.3430226793794235
15,0.55,1.891507312193132,0.001,0.6,1.2577722237326787
16,0.5499999999999999,1.9074562276730382,0.001,0.6,1.2977638215227785
17,0.54,1.8820191995402449,0.001,0.52,1.394320693789204
18,0.52,1.9375210512217733,0.001,0.7,1.2681607614545367
19,0.63,1.833521441949029,0.001,0.56,1.3108019292227127
20,0.57,1.90057835561023,0.001,0.66,1.277843274151528
21,0.53,1.8558918665578819,0.001,0.64,1.293535754530901
22,0.62,1.8208377706182197,0.001,0.7,1.3198554892816532
23,0.55,1.839660587973711,0.001,0.5,1.404875335147404
24,0.41,1.87476370701953,0.001,0.56,1.3772274793693566
25,0.59,1.8298118496455593,0.001,0.56,1.3655924524550807
26,0.55,1.8730830402527723,0.001,0.62,1.3172548502181223
27,0.5399999999999999,1.9071262869871677,0.001,0.62,1.304025065344101
28,0.5599999999999999,1.8592947088215799,0.001,0.58,1.3174001528790842
29,0.53,1.8163672247547347,0.001,0.6,1.256146247194673
30,0.6000000000000001,1.8627340225198807,0.0005,0.7,1.2899944677762603
31,0.57,1.8357972705052006,0.0005,0.66,1.292693860777937
32,0.57,1.864254379993314,0.0005,0.68,1.339187486482456
33,0.5600000000000002,1.8271399195413345,0.0005,0.56,1.291672822288822
34,0.56,1.810341140510295,0.0005,0.64,1.2699435175096268
35,0.59,1.8386996939364706,0.0005,0.58,1.2970420315316589
36,0.6000000000000001,1.8140728124802226,0.0005,0.64,1.3034331543095965
37,0.55,1.8456835024977838,0.0005,0.6,1.2981697602789877
38,0.6,1.8098403075830656,0.0005,0.64,1.3485497735915533
39,0.51,1.9025686666775201,0.0005,0.64,1.2827151436204982
40,0.5399999999999999,1.8433854756750676,0.0005,0.78,1.2890810496557092
41,0.5399999999999999,1.8310085250794597,0.0005,0.58,1.320460716430961
42,0.5200000000000001,1.85662108603115,0.0005,0.7,1.2717202528089444
43,0.5900000000000001,1.8080825251208066,0.0005,0.74,1.2006288117712145
44,0.5199999999999999,1.8460386423679327,0.0005,0.62,1.291727926954823
45,0.5700000000000001,1.8256668896825743,0.0005,0.66,1.2694600999399333
46,0.48,1.8751979582406033,0.0005,0.72,1.241221928447142
47,0.55,1.79003820022075,0.0005,0.62,1.2658736019511643
48,0.5299999999999999,1.8131563097404981,0.0005,0.54,1.3566863523228867
49,0.52,1.8425402402147273,0.0005,0.54,1.307709270298199
50,0.6300000000000001,1.794625214481212,0.0005,0.6,1.2688995148355242
